,number,value,datetime_start,datetime_complete,params_activation_1,params_activation_10,params_activation_2,params_activation_3,params_activation_4,params_activation_5,params_activation_6,params_activation_7,params_activation_8,params_activation_9,params_dropout_10,params_dropout_2,params_dropout_3,params_dropout_4,params_dropout_5,params_dropout_6,params_dropout_7,params_dropout_8,params_dropout_9,params_layer_1,params_learning_rate,params_num_layers,params_units_10,params_units_2,params_units_3,params_units_4,params_units_5,params_units_6,params_units_7,params_units_8,params_units_9,state
71,71,0.9402139186859131,2020-06-18 21:01:53.231836,2020-06-18 21:05:31.602594,linear,,relu,linear,relu,,,,,,,0.45405253033153187,0.17453566307222174,0.4648613939722836,,,,,,512,1.0283783985799343e-05,4,,512,128.0,512.0,,,,,,COMPLETE
72,72,0.9396400451660156,2020-06-18 21:05:31.627977,2020-06-18 21:09:10.730840,linear,,relu,linear,relu,,,,,,,0.439412282153078,0.17248623256808737,0.47431671123888525,,,,,,512,1.2601126488536815e-05,4,,512,128.0,512.0,,,,,,COMPLETE
73,73,0.9273099899291992,2020-06-18 21:09:10.754835,2020-06-18 21:12:50.257838,linear,,relu,linear,relu,,,,,,,0.4371405966904205,0.15770913049412055,0.47393309177948945,,,,,,512,2.1651477274898107e-05,4,,512,128.0,512.0,,,,,,COMPLETE
74,74,0.9401949048042297,2020-06-18 21:12:50.281983,2020-06-18 21:16:28.989519,linear,,relu,linear,relu,,,,,,,0.48307759314026844,0.22688060687701742,0.45213193993751727,,,,,,512,1.0123992472373723e-05,4,,512,128.0,512.0,,,,,,COMPLETE
75,75,0.940119743347168,2020-06-18 21:16:29.013645,2020-06-18 21:20:07.723267,linear,,relu,linear,relu,,,,,,,0.48044939741838794,0.23560982249044182,0.453033733800539,,,,,,512,1.0145020388867148e-05,4,,512,128.0,512.0,,,,,,COMPLETE
76,76,0.939607560634613,2020-06-18 21:20:07.749395,2020-06-18 21:23:47.915222,linear,,relu,linear,relu,,,,,,,0.4763905825974371,0.22849628814134965,0.44461225896214907,,,,,,512,1.019132935894809e-05,4,,512,128.0,512.0,,,,,,COMPLETE
77,77,0.9097079038619995,2020-06-18 21:23:47.941711,2020-06-18 21:27:36.441019,linear,,linear,linear,relu,linear,,,,,,0.4831758500891882,0.2269133673474328,0.4995053295056139,0.21797001152170045,,,,,128,1.0139284030715159e-05,5,,512,128.0,512.0,256.0,,,,,COMPLETE
78,78,0.9158841371536255,2020-06-18 21:27:36.465763,2020-06-18 21:31:16.665699,linear,,elu,linear,relu,,,,,,,0.4757193020480482,0.23877059576985027,0.3865100715499339,,,,,,512,1.0201083504312575e-05,4,,512,128.0,512.0,,,,,,COMPLETE
79,79,0.9401231408119202,2020-06-18 21:31:16.701756,2020-06-18 21:34:55.811551,linear,,relu,linear,relu,,,,,,,0.45505108034499725,0.25799445323401865,0.47456475255672537,,,,,,512,1.0335994108511084e-05,4,,512,512.0,512.0,,,,,,COMPLETE
80,80,0.9408493041992188,2020-06-18 21:34:55.837396,2020-06-18 21:38:33.853069,linear,,relu,linear,relu,,,,,,,0.45360840896034976,0.2644690463289321,0.47707205645613315,,,,,,512,1.2964453154130385e-05,4,,256,512.0,512.0,,,,,,COMPLETE
81,81,0.9393880367279053,2020-06-18 21:38:33.879930,2020-06-18 21:42:12.028447,linear,,relu,linear,relu,,,,,,,0.45258420707744546,0.25975195542893625,0.4470960266128986,,,,,,512,1.2403226917146941e-05,4,,256,512.0,512.0,,,,,,COMPLETE
82,82,0.9365854859352112,2020-06-18 21:42:12.055662,2020-06-18 21:45:58.048838,linear,,relu,linear,relu,linear,,,,,,0.45610133375252215,0.2922643445191961,0.4259669740070513,0.14982160749221246,,,,,512,1.9323089295173314e-05,5,,256,512.0,512.0,256.0,,,,,COMPLETE
83,83,0.9400383234024048,2020-06-18 21:45:58.075838,2020-06-18 21:49:26.714427,linear,,relu,linear,,,,,,,,0.4866704450454524,0.27104966574015943,,,,,,,512,1.2349846776005912e-05,3,,256,512.0,,,,,,,COMPLETE
84,84,0.9226098656654358,2020-06-18 21:49:26.745361,2020-06-18 21:52:56.737449,relu,,relu,linear,,,,,,,,0.48897597160598877,0.3026109814281769,,,,,,,512,1.0155029408883657e-05,3,,256,512.0,,,,,,,COMPLETE
85,85,0.9374606013298035,2020-06-18 21:52:56.764010,2020-06-18 21:56:41.469138,linear,,relu,linear,relu,linear,,,,,,0.47180236605437453,0.2736837357066557,0.47866004582595445,0.24949607165093338,,,,,512,1.9627421901194967e-05,5,,256,512.0,512.0,256.0,,,,,COMPLETE
86,86,0.9199019074440002,2020-06-18 21:56:41.496684,2020-06-18 22:00:08.564451,linear,,relu,linear,,,,,,,,0.4860853673210059,0.2650883278480971,,,,,,,512,3.827004883391874e-05,3,,256,512.0,,,,,,,COMPLETE
87,87,0.9185490012168884,2020-06-18 22:00:08.590737,2020-06-18 22:03:46.042254,linear,,selu,linear,relu,,,,,,,0.4679676241780559,0.2498661517349633,0.4598671749494993,,,,,,256,1.3490390454365657e-05,4,,256,512.0,512.0,,,,,,COMPLETE
88,88,0.9340386390686035,2020-06-18 22:03:46.079795,2020-06-18 22:07:15.239511,linear,,relu,linear,,,,,,,,0.44759647314825224,0.2425416527839947,,,,,,,512,1.9182635756439623e-05,3,,256,512.0,,,,,,,COMPLETE
89,89,0.9022039175033569,2020-06-18 22:07:15.268232,2020-06-18 22:11:02.383020,linear,,relu,linear,relu,linear,,,,,,0.41439376289971847,0.21513060331814032,0.43113988361550043,0.19334807256985623,,,,,512,0.0007054200170919446,5,,256,512.0,512.0,256.0,,,,,COMPLETE
90,90,0.5,2020-06-18 22:11:02.410268,2020-06-18 22:14:40.635626,linear,,relu,linear,relu,,,,,,,0.45894488842349324,0.2776744456964959,0.4001694920108149,,,,,,512,0.03847204349774052,4,,256,512.0,512.0,,,,,,COMPLETE
91,91,0.9382344484329224,2020-06-18 22:14:40.664150,2020-06-18 22:18:20.062558,linear,,relu,linear,relu,,,,,,,0.4318756624130609,0.3018614446822144,0.4952760942842575,,,,,,512,1.2795252516123e-05,4,,512,512.0,512.0,,,,,,COMPLETE
92,92,0.9393465518951416,2020-06-18 22:18:20.090180,2020-06-18 22:21:59.450546,linear,,relu,linear,relu,,,,,,,0.49034984952306404,0.32054948752613266,0.48307285830025937,,,,,,512,1.0080680267269193e-05,4,,512,512.0,512.0,,,,,,COMPLETE
93,93,0.938481867313385,2020-06-18 22:21:59.478559,2020-06-18 22:25:47.145172,linear,,relu,relu,relu,linear,,,,,,0.44483105245972016,0.21990020054727333,0.4633580583437789,0.27869350207756166,,,,,512,1.2321581397265561e-05,5,,512,512.0,512.0,256.0,,,,,COMPLETE
94,94,0.9397268295288086,2020-06-18 22:25:47.175431,2020-06-18 22:29:17.075319,linear,,relu,linear,,,,,,,,0.4632677108495192,0.24217344707284874,,,,,,,512,1.0085889601282234e-05,3,,512,512.0,,,,,,,COMPLETE
95,95,0.928683876991272,2020-06-18 22:29:17.103965,2020-06-18 22:32:46.201468,linear,,relu,linear,,,,,,,,0.4981521678424286,0.2643462179586445,,,,,,,512,2.2410919382931244e-05,3,,512,512.0,,,,,,,COMPLETE
96,96,0.9382819533348083,2020-06-18 22:32:46.229913,2020-06-18 22:36:08.519995,linear,,relu,,,,,,,,,0.21066715853938722,,,,,,,,512,1.6523005705351306e-05,2,,512,,,,,,,,COMPLETE
97,97,0.9273069500923157,2020-06-18 22:36:08.556719,2020-06-18 22:39:38.345530,linear,,relu,linear,,,,,,,,0.4627270821307077,0.2460679942108043,,,,,,,512,2.7466595223416228e-05,3,,512,512.0,,,,,,,COMPLETE
98,98,0.9218232035636902,2020-06-18 22:39:38.376265,2020-06-18 22:43:18.440505,relu,,relu,linear,relu,,,,,,,0.4225942069716618,0.2328051580064129,0.4360085535987053,,,,,,128,1.000050564526601e-05,4,,512,512.0,512.0,,,,,,COMPLETE
99,99,0.9388294816017151,2020-06-18 22:43:18.469909,2020-06-18 22:46:48.599550,linear,,relu,linear,,,,,,,,0.47681051235197053,0.19646170121168982,,,,,,,512,1.637256183134104e-05,3,,512,512.0,,,,,,,COMPLETE
