,number,value,datetime_start,datetime_complete,params_activation_1,params_activation_10,params_activation_2,params_activation_3,params_activation_4,params_activation_5,params_activation_6,params_activation_7,params_activation_8,params_activation_9,params_dropout_10,params_dropout_2,params_dropout_3,params_dropout_4,params_dropout_5,params_dropout_6,params_dropout_7,params_dropout_8,params_dropout_9,params_layer_1,params_learning_rate,params_num_layers,params_units_10,params_units_2,params_units_3,params_units_4,params_units_5,params_units_6,params_units_7,params_units_8,params_units_9,state
17,17,0.9261577725410461,2020-06-18 17:20:06.141015,2020-06-18 17:23:55.292932,selu,,relu,elu,relu,selu,,,,,,0.4931520360675534,0.10027584595436612,0.054186139006601186,0.16682909504906412,,,,,256,0.00018585134968015086,5,,128,256.0,256.0,512.0,,,,,COMPLETE
18,18,0.9336475133895874,2020-06-18 17:23:55.299510,2020-06-18 17:27:57.587178,selu,,relu,elu,linear,selu,linear,elu,,,,0.33450261642650925,0.2665417135502769,0.002751929223334877,0.10312186806821019,0.35452059775437345,0.410302624019661,,,512,1.3917140403679774e-05,7,,128,256.0,128.0,128.0,256.0,512.0,,,COMPLETE
19,19,0.9219545125961304,2020-06-18 17:27:57.594770,2020-06-18 17:32:00.126716,relu,,relu,elu,linear,selu,linear,elu,,,,0.3358068400578866,0.0018913836131991962,0.15675370869169286,0.09460951924764259,0.35630982103807435,0.45683383565408775,,,512,1.0187013462052908e-05,7,,128,256.0,128.0,128.0,256.0,512.0,,,COMPLETE
20,20,0.9035123586654663,2020-06-18 17:32:00.134012,2020-06-18 17:35:35.283430,elu,,linear,elu,linear,,,,,,,0.31299141292906685,0.1062696677861989,0.0008047845627578848,,,,,,512,8.664783202581631e-05,4,,256,256.0,256.0,,,,,,COMPLETE
21,21,0.932508111000061,2020-06-18 17:35:35.290815,2020-06-18 17:39:38.705213,selu,,relu,selu,selu,relu,linear,elu,,,,0.39861408938773074,0.25199189706480934,0.2783932943427222,0.09086371417500039,0.0014540033222241178,0.4096018151271868,,,512,1.9750297076620223e-05,7,,128,256.0,256.0,128.0,256.0,512.0,,,COMPLETE
22,22,0.9377426505088806,2020-06-18 17:39:38.712998,2020-06-18 17:43:42.251352,selu,,relu,selu,linear,selu,elu,elu,,,,0.4881541846736285,0.2500914012620953,0.030558194965435707,0.2701397315334688,0.35342570844737575,0.41036228122815105,,,512,1.9150460801276603e-05,7,,128,256.0,128.0,128.0,512.0,512.0,,,COMPLETE
23,23,0.9350243806838989,2020-06-18 17:43:42.259607,2020-06-18 17:48:05.827918,selu,,relu,selu,linear,selu,elu,elu,elu,relu,,0.47869045581399866,0.2302923518887728,0.05571501185054942,0.22755167926907877,0.14990249903446676,0.4048560435733368,0.38562575633913454,0.4617995467728376,512,2.2245553722841516e-05,9,,128,256.0,128.0,128.0,512.0,512.0,256.0,256.0,COMPLETE
24,24,0.9176241755485535,2020-06-18 17:48:05.836389,2020-06-18 17:52:23.083946,selu,,relu,selu,linear,selu,elu,linear,selu,elu,,0.49568581042215143,0.03362965968621859,0.04662835291669971,0.2700659532617257,0.2879056551667534,0.40438153071819155,0.12308451017919508,0.06840847915675063,512,0.00045795384939756626,9,,128,256.0,128.0,128.0,512.0,512.0,512.0,256.0,COMPLETE
25,25,0.9295002222061157,2020-06-18 17:52:23.092754,2020-06-18 17:56:41.736252,selu,,relu,selu,linear,selu,elu,elu,linear,linear,,0.49530124290505184,0.14025933333537366,0.047118810122152355,0.24683168651586493,0.18282091147829954,0.27600771626817805,0.14786546851946747,0.16440596426602405,512,2.4569444192435056e-05,9,,512,256.0,128.0,128.0,512.0,512.0,256.0,512.0,COMPLETE
26,26,0.9197292327880859,2020-06-18 17:56:41.745498,2020-06-18 18:01:05.052704,selu,,selu,selu,linear,selu,elu,elu,elu,elu,,0.45197753230346444,0.21530107064016873,0.147022179037978,0.2069473594664472,0.3983065075799809,0.39009414541457826,0.36459424315214545,0.4818925219909755,512,7.864485224257297e-05,9,,128,256.0,128.0,128.0,512.0,512.0,256.0,256.0,COMPLETE
