A2A,A1,hERG
0.65423566,0.6734855,0.37694615
0.6550636,0.7312677,0.26426476
0.68347096,0.6951896,0.3143701
0.5033287,0.5252248,0.27908653
0.6763214,0.66993713,0.42129016
0.5904297,0.64891654,0.33570278
0.6523864,0.7086221,0.27545482
0.58918995,0.6382816,0.26238275
0.46471193,0.4661465,0.4446203
0.59187824,0.60500497,0.24175858
0.58585066,0.5643831,0.2963283
0.60539395,0.61144793,0.23527706
0.56207526,0.53267133,0.38936627
0.4903731,0.50956255,0.37452048
0.56949836,0.6375876,0.32677287
0.6535138,0.57899725,0.3600567
0.5917678,0.61488205,0.27117687
0.5724689,0.6650246,0.29396003
0.49726653,0.5270614,0.26424307
0.48777673,0.5206907,0.24724245
0.7872709,0.8003171,0.3370592
0.63799393,0.6279048,0.25661552
0.64040446,0.57233995,0.40841693
0.53808427,0.6654191,0.34990132
0.63117397,0.63966125,0.34210032
0.59911853,0.5948774,0.17258513
0.60281146,0.62140805,0.25434977
0.80237937,0.6726413,0.365161
0.60199445,0.6237637,0.28435582
0.72854257,0.6884612,0.21023905
0.6300253,0.6886063,0.3433454
0.6401172,0.7205422,0.29863507
0.8355973,0.78880495,0.3507617
0.72529626,0.84346634,0.34415394
0.45390567,0.46610114,0.45649934
0.5995651,0.5949217,0.328196
0.51257914,0.55211717,0.2279613
0.54394156,0.6901416,0.38893646
0.62527996,0.5982849,0.4450115
0.54853565,0.55868495,0.27251965
0.7046968,0.6755969,0.30228508
0.57397485,0.81091404,0.24496585
0.5842876,0.63670987,0.27846467
0.5078991,0.4986669,0.38472098
0.6276664,0.9239735,0.38960326
0.46146217,0.48074454,0.32852012
0.6754968,0.74438864,0.27504534
0.4689248,0.48908648,0.4291436
0.49252498,0.49885815,0.3840183
0.8196376,0.6695854,0.36351836
0.5572209,0.52804244,0.2747606
0.6836144,0.68549794,0.28472126
0.4889589,0.5645564,0.23728824
0.67362314,0.6328821,0.34902823
0.4610665,0.4692592,0.35323536
0.62225634,0.69944334,0.3037907
0.60365456,0.6666938,0.28354728
0.5470321,0.6172295,0.29727864
0.5097878,0.67930067,0.30138874
0.71970767,0.73581,0.3382603
0.60229564,0.71204513,0.25374687
0.5389893,0.506142,0.440175
0.53928596,0.5801365,0.22810155
0.57797223,0.61859214,0.388942
0.7129226,0.72106004,0.29929394
0.6115025,0.70368385,0.3127067
0.5623421,0.6062199,0.35391325
0.62273675,0.66314375,0.25712508
0.5705854,0.47825468,0.4553973
0.46955204,0.47933194,0.34726608
0.51754224,0.5298665,0.36669177
0.60272884,0.63808334,0.2990769
0.4595829,0.47328714,0.43040973
0.70167184,0.64380825,0.21739888
0.6219408,0.656252,0.2504626
0.6118865,0.58791083,0.26594186
0.6325782,0.6256606,0.37374198
0.61172813,0.6792663,0.2686208
