A2A,A1,hERG
0.63665855,0.74679667,0.33190888
0.7008544,0.7426151,0.2761045
0.70956796,0.64005226,0.3567711
0.95471,0.8864994,0.24897748
1.0,0.95331156,0.32245994
0.777751,0.7586207,0.3935101
0.64617074,0.6946317,0.36948872
0.7834494,0.82937735,0.3527776
0.47793669,0.5600576,0.26045346
0.5182624,0.5043748,0.4393618
0.74595416,0.7340769,0.32754648
0.75406516,0.7074966,0.2342782
0.742193,0.796393,0.2330541
0.492975,0.4995938,0.36012667
0.45485172,0.4712674,0.43837827
0.6474758,0.7652903,0.28801543
0.5768383,0.5516508,0.33433026
0.82211655,0.84316045,0.30997145
0.59330636,0.5611265,0.23354948
0.6251588,0.6171362,0.2460677
0.48540395,0.5315319,0.26458043
0.6717293,0.7038865,0.351627
0.4773432,0.53143984,0.37958133
0.6177845,0.61344147,0.31839424
0.68152183,0.6097929,0.43143886
0.75024575,0.6939368,0.2599306
0.88275665,0.8387473,0.31949753
0.61187625,0.5749133,0.19846809
0.47759315,0.4788685,0.42249972
0.6767133,0.61584353,0.344383
0.6702656,0.696365,0.32530314
0.7186557,0.7752075,0.3236609
0.7562865,0.82456064,0.2701726
0.9628365,0.7771108,0.37506402
0.5477328,0.5307943,0.24713266
0.69174767,0.64330626,0.23359346
0.76283276,0.82469183,0.27637154
0.9024924,0.8047157,0.27341372
0.7478465,0.7019466,0.2915662
0.7602497,0.675948,0.30260104
0.67464775,0.8258341,0.35097933
0.634243,0.80914783,0.27688664
0.6164,0.65479445,0.26954496
0.9399271,0.89758486,0.2695647
0.71727914,0.82750726,0.296937
0.86553633,0.84860384,0.28611404
0.68025905,0.64483356,0.3194651
0.7064379,0.6747609,0.2620893
0.8493942,0.58777034,0.36570507
0.71013397,0.6896864,0.29119927
0.65865284,0.7064604,0.28089714
0.5152487,0.5010072,0.34830034
0.5454922,0.61049974,0.35347772
0.94315463,0.7915819,0.32303733
0.71720946,0.65855336,0.21430647
0.65587115,0.73886645,0.37583798
0.56332475,0.624115,0.23607749
0.6883123,0.7235544,0.38142455
0.6686039,0.6859956,0.3250966
0.84000945,0.77639085,0.3517155
0.69828063,0.8384473,0.2786702
0.9096477,0.9028507,0.24815875
0.7084653,0.7561623,0.33200842
0.6652312,0.67712235,0.27848274
0.6089722,0.66365224,0.26117724
0.589735,0.71142954,0.31954348
0.6827338,0.6525355,0.31104302
0.7072592,0.7068783,0.3410719
0.6381645,0.76000744,0.36698723
0.6169723,0.6294513,0.23019105
0.7287805,0.7927799,0.24589449
0.52869475,0.5272581,0.39965218
0.5312779,0.61131483,0.31154054
0.7148171,0.71179074,0.33380324
0.5520838,0.68019533,0.26654488
0.7621147,0.83562225,0.2588209
0.64242125,0.70460814,0.25507838
0.61042655,0.604414,0.33786017
0.709875,0.69990176,0.22902632
