smiles	token
Cc1cc(C)n(-c2cc(NC(=O)CN3CCN(C)CC3)nc(-c3nccs3)n2)n1	C c 1 c c ( C ) n ( - c 2 c c ( N C ( = O ) C N 3 C C N ( C ) C C 3 ) n c ( - c 3 n c c s 3 ) n 2 ) n 1
CN(C)CCC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1	C N ( C ) C C C ( N C ( = O ) C 1 ( N ) C C N ( c 2 n c n c 3 [nH] c c c 2 3 ) C C 1 ) c 1 c c c ( L ) c c 1
CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)c3cnn(C)c3)sc12	C C N ( C ( C ) = O ) c 1 c c c ( O C ) c 2 n c ( N C ( = O ) c 3 c n n ( C ) c 3 ) s c 1 2
Nc1nc(-n2cccn2)nc(NCC2CC2)c1Br	N c 1 n c ( - n 2 c c c n 2 ) n c ( N C C 2 C C 2 ) c 1 R
Cc1cccc(Nc2nc(N)c3ccccc3n2)c1	C c 1 c c c c ( N c 2 n c ( N ) c 3 c c c c c 3 n 2 ) c 1
O=C(Nc1nc(-c2ccccc2)c(C(=O)O)s1)c1ccco1	O = C ( N c 1 n c ( - c 2 c c c c c 2 ) c ( C ( = O ) O ) s 1 ) c 1 c c c o 1
N#Cc1ccnc(C2=NC(c3ccc(F)cc3)(c3ccc(F)cc3)C(CO)N2)c1	N # C c 1 c c n c ( C 2 = N C ( c 3 c c c ( F ) c c 3 ) ( c 3 c c c ( F ) c c 3 ) C ( C O ) N 2 ) c 1
Cc1c(C)c2ccc(OCCCCN3CCC(c4noc5cc(F)ccc45)CC3)cc2oc1=O	C c 1 c ( C ) c 2 c c c ( O C C C C N 3 C C C ( c 4 n o c 5 c c ( F ) c c c 4 5 ) C C 3 ) c c 2 o c 1 = O
O=C(Nc1ccccc1)Nc1nc(-c2cccnc2)nc2ccccc12	O = C ( N c 1 c c c c c 1 ) N c 1 n c ( - c 2 c c c n c 2 ) n c 2 c c c c c 1 2
Cn1c(=O)c2[nH]c(-c3ccc(OCC(=O)NCc4ccncc4)cc3)cc2n(C)c1=O	C n 1 c ( = O ) c 2 [nH] c ( - c 3 c c c ( O C C ( = O ) N C c 4 c c n c c 4 ) c c 3 ) c c 2 n ( C ) c 1 = O
CCn1c(=S)c2nc(-c3ccccc3)[nH]c2n(CC)c1=O	C C n 1 c ( = S ) c 2 n c ( - c 3 c c c c c 3 ) [nH] c 2 n ( C C ) c 1 = O
Cn1c(=O)n(CCN2CCN(c3nc(C(F)(F)F)cs3)CC2)c2nc(N)n3nc(-c4ccco4)nc3c21	C n 1 c ( = O ) n ( C C N 2 C C N ( c 3 n c ( C ( F ) ( F ) F ) c s 3 ) C C 2 ) c 2 n c ( N ) n 3 n c ( - c 4 c c c o 4 ) n c 3 c 2 1
COc1c(C(C)(C)C)cc(C(=O)NCC2CCN(C(=O)CCCCC(c3ccc(F)cc3)c3ccc(F)cc3)C2)cc1C(C)(C)C	C O c 1 c ( C ( C ) ( C ) C ) c c ( C ( = O ) N C C 2 C C N ( C ( = O ) C C C C C ( c 3 c c c ( F ) c c 3 ) c 3 c c c ( F ) c c 3 ) C 2 ) c c 1 C ( C ) ( C ) C
CCNC(=O)C1OC(n2cnc3c(N)nc(C#CCn4ccnc4)nc32)C(O)C1O	C C N C ( = O ) C 1 O C ( n 2 c n c 3 c ( N ) n c ( C # C C n 4 c c n c 4 ) n c 3 2 ) C ( O ) C 1 O
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)NCCNC(=O)Cc4ccc(N)cc4)cc3)[nH]c2n(CCC)c1=O	C C C n 1 c ( = O ) c 2 n c ( - c 3 c c c ( O C C ( = O ) N C C N C ( = O ) C c 4 c c c ( N ) c c 4 ) c c 3 ) [nH] c 2 n ( C C C ) c 1 = O
O=C(NCCCN1CCOC1=O)c1cnc(NCc2cc(Cl)ccc2Cl)nc1NC1CCCC1	O = C ( N C C C N 1 C C O C 1 = O ) c 1 c n c ( N C c 2 c c ( L ) c c c 2 L ) n c 1 N C 1 C C C C 1
COc1ccc2c(c1)CCN(CCn1ncc3c1nc(N)n1nc(-c4ccco4)nc31)CC2	C O c 1 c c c 2 c ( c 1 ) C C N ( C C n 1 n c c 3 c 1 n c ( N ) n 1 n c ( - c 4 c c c o 4 ) n c 3 1 ) C C 2
Cc1ccc(-c2cc(-c3cccc(C(=O)N4CCOCC4)c3)nc(N)n2)o1	C c 1 c c c ( - c 2 c c ( - c 3 c c c c ( C ( = O ) N 4 C C O C C 4 ) c 3 ) n c ( N ) n 2 ) o 1
COc1nc2c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)ccnc2cc1C#N	C O c 1 n c 2 c ( C C C 3 4 C C C ( N C c 5 c c c 6 c ( n 5 ) N C ( = O ) C O 6 ) ( C C 3 ) C O 4 ) c c n c 2 c c 1 C # N
CCCNc1nc(N)c2nc(-c3ccco3)sc2n1	C C C N c 1 n c ( N ) c 2 n c ( - c 3 c c c o 3 ) s c 2 n 1
CC(C)C1(C(=O)N2CC3CC2CN3C(=O)C2CCOCC2)CCC(NC2CCOCC2)C1	C C ( C ) C 1 ( C ( = O ) N 2 C C 3 C C 2 C N 3 C ( = O ) C 2 C C O C C 2 ) C C C ( N C 2 C C O C C 2 ) C 1
Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccc(Br)cc3)nn12	N c 1 n c 2 n n ( C C c 3 c c c c c 3 ) c c 2 c 2 n c ( - c 3 c c c ( R ) c c 3 ) n n 1 2
CCC(NC(=O)COc1ccc2[nH]c(=O)c(-c3nccs3)c(CCc3ccccc3)c2c1)c1ccccc1	C C C ( N C ( = O ) C O c 1 c c c 2 [nH] c ( = O ) c ( - c 3 n c c s 3 ) c ( C C c 3 c c c c c 3 ) c 2 c 1 ) c 1 c c c c c 1
CCc1nc(-c2ccco2)c2sccc2n1	C C c 1 n c ( - c 2 c c c o 2 ) c 2 s c c c 2 n 1
COc1ccc(N2CCOCC2)c2sc(NC(=O)C(C)(C)Oc3c(F)cccc3F)nc12	C O c 1 c c c ( N 2 C C O C C 2 ) c 2 s c ( N C ( = O ) C ( C ) ( C ) O c 3 c ( F ) c c c c 3 F ) n c 1 2
CC(C)N1C(=O)C(NC(=O)C(Cc2cc(F)ccc2F)NC(=O)c2ccc(F)cc2C(F)(F)F)CCc2cc(Cl)ccc21	C C ( C ) N 1 C ( = O ) C ( N C ( = O ) C ( C c 2 c c ( F ) c c c 2 F ) N C ( = O ) c 2 c c c ( F ) c c 2 C ( F ) ( F ) F ) C C c 2 c c ( L ) c c c 2 1
Cc1c2c(n3c1CCCN1CCCC(C1)Nc1cc-3ccc1C(N)=O)CC(C)(C)CC2=O	C c 1 c 2 c ( n 3 c 1 C C C N 1 C C C C ( C 1 ) N c 1 c c - 3 c c c 1 C ( N ) = O ) C C ( C ) ( C ) C C 2 = O
CC(C(=O)N1CCC(Oc2ccc(-c3cn(C)cn3)cc2C(N)=O)CC1)c1ccc(OC(F)(F)F)cc1	C C ( C ( = O ) N 1 C C C ( O c 2 c c c ( - c 3 c n ( C ) c n 3 ) c c 2 C ( N ) = O ) C C 1 ) c 1 c c c ( O C ( F ) ( F ) F ) c c 1
CCCn1c(=O)c2nc(-c3cc(OCC(=O)Nc4ccc(C(C)CC)cc4)nn3C)[nH]c2n(CCC)c1=O	C C C n 1 c ( = O ) c 2 n c ( - c 3 c c ( O C C ( = O ) N c 4 c c c ( C ( C ) C C ) c c 4 ) n n 3 C ) [nH] c 2 n ( C C C ) c 1 = O
COc1cc(C2(c3cccc(-c4cncnc4)c3)N=C(N)c3c(F)cccc32)ccn1	C O c 1 c c ( C 2 ( c 3 c c c c ( - c 4 c n c n c 4 ) c 3 ) N = C ( N ) c 3 c ( F ) c c c c 3 2 ) c c n 1
CCCn1c(=O)c2nc(-c3cnn(Cc4ccc(F)cc4F)c3)[nH]c2n(CCC)c1=O	C C C n 1 c ( = O ) c 2 n c ( - c 3 c n n ( C c 4 c c c ( F ) c c 4 F ) c 3 ) [nH] c 2 n ( C C C ) c 1 = O
CCOc1ccc(CC(=O)Nc2cc(-n3nc(C)cc3C)nc(-c3ccccn3)n2)cc1OC	C C O c 1 c c c ( C C ( = O ) N c 2 c c ( - n 3 n c ( C ) c c 3 C ) n c ( - c 3 c c c c n 3 ) n 2 ) c c 1 O C
CC(=O)N1CCN(C2CC(n3cc(-c4cccc(OCC56CCC(CC5)O6)c4)c4c(N)ncnc43)C2)CC1	C C ( = O ) N 1 C C N ( C 2 C C ( n 3 c c ( - c 4 c c c c ( O C C 5 6 C C C ( C C 5 ) O 6 ) c 4 ) c 4 c ( N ) n c n c 4 3 ) C 2 ) C C 1
