smiles,pchembl_value
CCCn1c(=O)c2nc(-c3cc(OCC(=O)Nc4ccc(OC)cc4)no3)[nH]c2n(CCC)c1=O,3.99
O=C(Oc1ccccc1C(=O)O)c1ccccc1O,3.99
CCCn1c(=O)c2[nH]c(-c3cnn(Cc4ccccc4)c3)nc2n(CC)c1=O,6.58
CCCCC(CC)CNc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,6.29
CC(C)C(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,6.52
CCCCn1c(/N=C/c2ccc(Cl)cc2)c(C#N)sc1=S,8.02
CN1CCN(CCNc2nc(N)n3nc(-c4ccco4)nc3n2)CC1,7.0600000000000005
Nc1nc(-c2ccco2)c2ncn(C(=O)NCc3ccccc3)c2n1,8.973333333333334
CCCn1c(=O)c2[nH]c(-c3ccc(OC(C)C(=O)Nc4ccccc4)cc3)cc2n(CCC)c1=O,6.98
CCCc1nc2c(=O)n(Cc3ccccc3)nc(-c3ccccc3)c2c2cc(-c3ccccc3)nn12,3.99
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,3.99
Cn1cc2nc(NC(=O)Nc3ccncc3)n3nc(-c4ccco4)nc3c2c1,3.99
Nc1nn(-c2ccccc2)nc1C(=O)OCc1ccccc1,7.51
N#Cc1c(NC(=O)C2CCCC2)nc(-c2ccccc2)nc1-c1ccccc1,6.55
Nc1nc(NCc2ccccc2)nc2sc(-c3ccco3)nc12,7.6499999999999995
Cc1ccc(C(=O)c2nc(NC(C)c3ccccc3)nc3ccsc23)s1,5.97
Cc1cccc(Nc2nc(-c3cccc(C#N)c3)c(-n3cncn3)s2)n1,3.99
CCNc1c2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)nn1C.Cl,7.505
Nc1nc(C(=O)NCc2cncc3ccccc23)c2cccc(F)c2n1,7.57
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(C(=O)OCC)cc4)cc3)cc2n(C)c1=O,5.58
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,3.99
CN1C[C@H](C(=O)N[C@@H](CCC2CCCCC2)C(=O)N[C@@H](Cc2ccc(F)cc2)C(=O)N2CCC[C@H]2C(N)=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21,4.48
CCCC(=O)Nc1cc(-c2ccoc2)nc(-c2ccoc2)n1,6.26
Cc1ccc(-c2nc(N(C)C)nc3ccsc23)nc1,7.72
CCCN(CCCNC(=O)CCCOc1ccc(CCNc2nc(N)n3nc(-c4ccco4)nc3n2)cc1)CCc1cccc2c1CC(=O)N2.O=C(O)C(F)(F)F,7.745
CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,3.99
Nc1c(C(=O)Nc2ccc([N+](=O)[O-])cc2)sc2nc3c(cc12)CCCC3,4.82
O[C@@H]1[C@H](O)[C@@H]2C[C@@H]2[C@H]1n1cnc2c(NCc3cccc(Br)c3)nc(Cl)nc21,5.8
CCCn1c(=O)c2c(nc3n2CC(c2ccccc2)=C3)n(Cc2ccccc2)c1=O,3.99
C[C@@]1(O)[C@H](O)[C@@H](CCl)O[C@H]1n1cnc2c(NC3CCCC3)nc(Cl)nc21,4.79
CC(C)NC[C@@H](O)COc1cccc2ccccc12,3.99
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(C(N)=O)cc4)cc3)cc2n(CCC)c1=O,7.62
CCCn1c(=O)c2nc(-c3cc(N)n(C)n3)[nH]c2n(CCC)c1=O,3.99
Cc1cccnc1CNC(=O)c1cc(-c2cccc(F)c2)nc(N)n1,8.05
O=c1[nH]c2ccccc2n2c(=O)c(-c3ccc(Cl)cc3)nn12,3.99
Nc1nc(N2CCCN(CCc3cccc4c3CC(=O)N4)CC2)nc2nc(-c3ccco3)nn12.O=C(O)C(F)(F)F,5.83
COc1c(F)cccc1-c1cc(NC(C)=O)nc(-n2nc(C)cc2C)n1,8.52
CCOC(=O)c1nc(N(C(=O)c2ccc(F)c(F)c2)C(=O)c2ccc(F)c(F)c2)nc2nn(C)cc12,3.99
CCCn1c(=O)n(C)c(=O)c2[nH]c(-c3ccc(OC(C)(C)C(=O)N4CCN(c5ccccc5)CC4)cc3)cc21,6.25
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)(O)O,3.99
Cc1cc(C)n(-c2nc(Nc3cnccn3)cc(N3CCc4ccccc4C3)n2)n1,8.96
CCn1c(=O)[nH]c2nc(-c3ccc(S(=O)(=O)N4CCN(Cc5ccc(C(F)(F)F)cc5)CC4)cc3)[nH]c2c1=O,7.64
CCCn1c(=O)c2nc(-c3cc(NC(=O)Cc4ccc([N+](=O)[O-])cc4)nn3C)[nH]c2n(CCC)c1=O,3.99
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc([N+](=O)[O-])cc4)cc3)[nH]c2n(CCC)c1=O,7.16
CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1,3.99
CCC(=O)Nc1cc(-c2ccoc2)nc(-c2ccoc2)n1,7.08
CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)[C@H]3CC[C@H](NCc4cccc(C(F)(F)F)c4)CC3)sc12.O=C(O)C(F)(F)F,6.55
CCCn1c(=O)c2nc(-c3cc(NC(=O)Cc4ccccc4)n(C)n3)[nH]c2n(CCC)c1=O,3.99
Cc1ccc(Nc2nc(N(C)C)c(C(=O)Nc3sc4c(c3C(N)=O)CCCC4)s2)cc1,4.65
CCn1nnc(-c2sc(NC(=O)Cc3ccccc3)nc2-c2ccccc2)n1,6.34
CN(C)c1ccc(-c2oc3ccccc3c(=O)c2O)cc1,3.99
Cc1sc(N)c(C(=O)c2ccc(Cl)cc2)c1CN1CCN(c2cccc(Cl)c2)CC1,3.99
CC(C)[C@H](Nc1nc(Cl)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@@H]2C[C@@H]21)C1CC1,5.44
CC(Oc1ccc(-c2cc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1)C(=O)N1CCN(c2ccccc2Cl)CC1,6.13
O=C(Cc1ccccc1)Nc1nc(-c2ccccc2)c(-c2ncon2)s1,6.15
C#CCCCC(=O)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,6.7
CCc1sc(N)c(C(=O)c2ccc(Cl)cc2)c1CN1CCN(c2ccc(Cl)cc2)CC1,3.99
c1csc(-c2nc(C3CC3)nc3ccsc23)n1,8.48
CC(C)CC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,7.140000000000001
CCCCn1c(=O)c2[nH]c(-c3cnn(Cc4ccccc4)c3)nc2n(C)c1=O,6.61
CCN(CC)C(=O)C1CCCN(C(=O)c2cc(N)c3nc(-c4ccc(Br)o4)nn3c2)C1,7.4
N=C(N)c1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,8.36
CN1CCN(c2c3c(nc(N)n4nc(-c5ccco5)nc34)nn2C)CC1,6.81
COCCn1c(=O)c2c(nc(Cc3c(F)cccc3F)n2C)n(Cc2ccco2)c1=O,6.31
CCOC(=O)[C@@H]1Oc2ccc(CCCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)cc2O1,8.26
Cc1ccc(S(=O)(=O)n2cc(CCOc3nc(NC(=N)N)c4ncn([C@@H]5O[C@H](CO)[C@@H](O)[C@H]5O)c4n3)c3ccccc32)cc1,6.46
CCCn1c(=O)c2nc([C@H]3CC[C@H](CO)CC3)[nH]c2n(CCC)c1=O,6.5
CSc1c2c(nc(NC(=O)Cc3ccc(CC(C)C)cc3)n3nc(-c4ccco4)nc23)nn1C,7.3
CS(=O)(=O)c1ccc(Cn2cnc3c(-c4ccco4)nc(N)nc32)cc1,6.11
O=c1[nH]c2ccccc2c2ccccc12,3.99
CCCCc1nc2cc(C)ccc2c2nc(-c3ccccc3)nn12,3.99
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(CNC(=O)NCCN(C4CCCCC4)C(C)(C)C)nc32)[C@H](O)[C@@H]1O,7.48
Oc1cc(-c2ccccc2)nc2nc(N3CCOCC3)ccc12,3.99
CCOC(=O)c1nc(NC(=O)c2ccc(F)cc2)nc2nn(C)cc12,4.94
Cc1ccc(C(=O)C(C)CN2CCCCC2)cc1,3.99
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,3.99
O=C(N/N=N/c1nc(NC2CCCC2)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1)Nc1ccccc1,6.68
O=C(COc1ccc2[nH]c(=O)c(-c3nccs3)c(CCc3ccccc3)c2c1)N[C@@H](CO)c1ccccc1,5.72
CCCCc1nc2[nH]cnc2c2nc(-c3cc(OC)c(OC)c(OC)c3)nn12,5.6
C=CCN1C(=O)N2CC(C)N=C2c2[nH]c(-c3cc(C)n(C)n3)nc21,3.99
CCCn1c(=O)c2nn(C3CCCC3)nc2n(CCC)c1=O,4.89
CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)[C@H]3CC[C@H](NS(=O)(=O)c4cccc(C(F)(F)F)c4)CC3)sc12,6.7
O=C(O)c1cnc(NCc2ccccc2)n2nc(-c3ccco3)nc12,5.44
O=c1oc2c(O)cccc2cc1-c1ccsc1,5.01
Nc1cccc2c1nc(N)c1nn(-c3ccc(O)cc3)c(=O)n12,6.74
Nc1sc(C#Cc2ccccc2)c(CN2CCN(c3ccc(Cl)c(C(F)(F)F)c3)CC2)c1C(=O)c1ccc(Cl)cc1,3.99
Nc1nc(CSc2nnc(N)s2)nc(Nc2ccc(F)cc2)n1,4.89
CC1CCCCN1C(=O)c1cc(N)c2nc(-c3ccc(Br)o3)nn2c1,7.21
Nc1cccc2c1nc(N)c1nn(-c3ccccc3)c(=O)n12,7.73
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(N[C@@H]4CCC[C@H]4O)nc32)[C@H](O)[C@@H]1O,9.8
CCCC(=O)Nc1cc(-c2ccccc2F)nc(-c2ccccc2F)n1,6.85
OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@@H]8[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,3.99
N#Cc1ccccc1-c1cc(C(=O)NCc2ccccn2)nc(N)n1,6.59
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,3.99
COCC1=CC(O)N=C(Nc2nc(C)c3ccccc3n2)N1,6.2
Cc1ccc2c(-c3nnc(SCCCN4CCc5ccc(-c6cc(C)nn6C)cc5CC4)n3C)cccc2n1,3.99
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NNC(=O)c4ccccc4)nc(Cl)nc32)[C@H](O)[C@@H]1O,3.99
Cl.Cn1cc2c(nc(NC(=O)NC3CCN(CC4CCCCC4)CC3)n3nc(-c4ccco4)nc23)n1,3.99
Nc1nc(C(=O)NCc2cccc3cccnc23)c2cc(F)c(F)cc2n1,8.44
CCOC(=O)c1c(NC(=O)c2sc(Nc3ccc(C)cc3)nc2N(C)C)sc2c1CCCC2,4.75
CC(=O)Nc1ccc(-c2c(C#N)c(N)nc(SCC(N)=O)c2C#N)cc1,6.24
