smiles,CHEMBL226,CHEMBL240,CHEMBL251
O=C(Nc1nc(-c2ccccc2)n[nH]1)C1CCCO1,5.5,,5.23
Nc1nc(/N=N/NC(=O)Nc2ccc(Cl)cc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,7.82,,
CC[C@@H](C)Oc1cc2c(cc1OC)CC(=O)N(c1ccc(N(C)C[C@H]3CC[C@H](N(C)C)CC3)cc1)[C@H]2c1ccc(Cl)cc1,,5.89,
CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccccc2)N2CCN(c3ccccc3)CC2)CC1,,4.89,
COc1c(C(=O)Nc2nccs2)ccc(NC(=O)CC(C)(C)C)c1F,6.66,,7.92
Cn1c(=O)c2c(cc(/C=C/c3ccc(F)cc3)n2C)n(C)c1=O,,,6.37
CCCn1c(=O)c2[nH]c(-c3cc(OCc4nc5cc(C)c(C)cc5[nH]4)nn3C)nc2n(CCC)c1=O,6.13,,3.99
COc1cc(N2C(=O)N(c3ccc(-c4ccc(C(N)=O)cc4)cc3)C(=O)C23CCN(Cc2ncccc2C)CC3)ncn1,,6.19,
Nc1nc2c(cnn2CCN2CCC(N3CCOCC3)CC2)c2nn(Cc3cccc(Cl)c3)c(=O)n12,,,8.17
CCNc1ncc(C(=O)OCC)c2nc(-c3ccco3)nn12,6.79,,7.3
CCc1ccc(-c2nc(N)c3cc(CN4[C@@H](C)CCC[C@H]4C)sc3n2)o1,6.72,,7.6
CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,3.99,3.99,3.99
N#Cc1ccc(Oc2ccc(S(=O)(=O)Nc3ccc(F)cn3)cc2C#N)cc1Cl,,4.17,
Cc1cc(C)n(-c2cc(NC(=O)COc3cccc(CCN4CCOCC4)c3)nc(-c3ccc(C)o3)n2)n1,6.27,,8.64
I.Nc1nc2c(s1)Cc1cc(-c3cccc(C(F)(F)F)c3)ccc1-2,3.99,,
Nc1ncc(-c2ccc3ccccc3c2)c(-c2ccccc2)n1,7.75,,6.89
Cc1ccn2c3c(nc2c1)CCN(CCCSc1nnc(-c2cccc4nc(C)ccc24)n1C)CC3,,6.6,
CCn1nc(-c2nccs2)c2sccc2c1=O,6.95,,5.6
Nc1cc(-c2ccccc2)nc(-c2ccccc2)n1,7.6,,6.77
Cn1cc2c(nc(NC3CCC3)n3nc(-c4ccco4)nc23)n1,6.77,,7.08
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(C(C)=O)cc4)cc3)c(Cl)c2n(CCC)c1=O,,,7.07
COc1ccc(CNC(=O)N2CCC(NC(=O)Nc3nc4nn(C)cc4c4nc(-c5ccco5)nn34)CC2)cc1,6.2,,3.99
COC(=O)c1ccc(O)cc1,3.99,3.99,3.99
Cn1cc2c(nc(NC3CCCCC3)n3nc(-c4ccco4)nc23)n1,6.78,,6.63
CCCCc1cc(OC2CCN(CCNS(=O)(=O)CC)CC2)c2ncccc2c1.Cl.Cl,,7.12,
CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)c3cc[nH]c3)sc12,7.46,,7.75
Nc1ccc(-c2ccsc2)cc1NC(=O)c1ccc(CN2CCC3(CCCN3)CC2)cc1,,5.83,
COCO[C@H]1[C@H](C)O[C@@H](O[C@H]2C[C@H]3OC(C)(C)OC[C@]34[C@H]3[C@H](OCOC)C[C@]5(C)[C@@H](CO)CC[C@]5(O)[C@@H]3CC[C@]4(O)C2)[C@@H]2OC(C)(C)O[C@H]12,,3.99,
Cc1c(-c2ccccn2)nc2cc(F)ccc2c1N1CC2(CCOCC2)c2ncc(N3CCOCC3)cc21,,3.99,
N#Cc1cccc(-c2nc(Nc3cnccn3)sc2-n2ccnc2)c1,7.34,,6.46
CN1C[C@@H]2C[C@H]1CN2c1cnc(-c2ccc3occc3c2)cn1,,8.28,
Cc1cc(-c2c(CCc3ccccc3)c3cc(OCC(=O)NC(C)(C)c4ccccc4)ccc3[nH]c2=O)on1,7.92,,5.55
CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,3.99,3.99,3.99
Cc1cccc(C)c1NC(=O)CC12CCCN1CCC2,,4.69,
C[C@H](c1cccnc1F)c1c(CCN(C)C)sc2ccccc12,,5.64,
CC(C)NC(=O)c1cccc(Cn2nnc3c(-c4ccco4)nc(N)nc32)c1,6.13,,7.97
O=C(Nc1nc(-c2ccccc2)c(C(=O)c2cccnc2)s1)c1ccco1,6.75,,6.26
CCn1nc(-c2cccc(-c3cc(C#N)cc(C(=O)NC4CC4)c3)c2)cc(NC(=O)Nc2c(Cl)cncc2Cl)c1=O,6.2,,3.99
CNCc1cc(NS(C)(=O)=O)ccc1Oc1ccc(Cl)cc1C,,5.14,
CC1(C)C[C@H](CN2CCC(F)(CNC(=O)c3cc(Cl)cc(Cl)c3)CC2)CCO1,,5.3,
C=CC(=O)N1CCC[C@@H](n2nc(-c3cccc(C(=O)Nc4ccc(C(C)C)c(C)c4)c3)c3c(N)ncnc32)C1,,6.52,
Cc1c(C(=O)N(C)CCCN2CCN(c3cccc(Cl)c3Cl)CC2)cc(-c2ccccc2)n1C,,6.3,
Cc1cc(OC(F)F)cnc1C(=O)Nc1csc([C@]23CO[C@@H](C)C[C@H]2CSC(N)=N3)n1,,5.02,
Clc1ccc([C@]23CCCC[C@H]2CNC3)cc1Cl,,5.19,
CC(=N)N1CCC(Oc2ccc(N(Cc3ccc4ccc(C(=N)N)cc4c3)S(C)(=O)=O)cc2)CC1,,5.41,
Cc1ccc(-c2nc(NC(=O)C3CC3)cnc2-c2ccncc2)o1,7.96,,8.92
CCc1nn(CCOCC(F)(F)F)c2c(Nc3ccncn3)nc(N3CCN[C@H](C)C3)nc12,,5.85,
N#Cc1c(N)nc2c(c1-c1ccc(F)cc1)CCC2,,,6.63
CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccccc4C(C)=O)cc3)[nH]c2n(CCC)c1=O,6.47,,6.37
CNc1nn2c(N)cc(C)nc2c1S(=O)(=O)c1ccccc1,3.99,3.99,3.99
COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,3.99,7.380454545454546,3.99
CC1CCCCC1NC(=S)NC(=O)c1sc2ccccc2c1Cl,,5.31,
O=C(N[C@H]1[C@@H](CO)O[C@@H](n2cnc3c(NC4CCCC4)ncnc32)[C@@H]1O)c1ccc(F)c(Cl)c1,6.24,,
Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,3.99,3.99,3.99
CC#Cc1cc(-c2n[nH]c3c2Cc2cc(CN4CCN(C)CC4)ccc2-3)cs1,,5.85,
CCN1C(=O)c2nc(Cc3ccccc3)n(Cc3ccccc3)c2N2CC3(CCc4ccccc43)N=C12,,5.64,
O=C1OCc2cc(CCC3C4CN(C(=O)Cc5ccc(-n6cnnn6)cc5)CC34)ccc21,,5.3,
COc1cccc2c1CCCC2CCCN1CCN(C2CCCCC2)CC1,,6.0,
CS(=O)(=O)c1c(CCc2ccccc2)c2cc(OCC(=O)Nc3ccccc3)ccc2[nH]c1=O,5.88,,3.99
Nc1nc(Nc2ccccc2)nc2sc(-c3ccco3)nc12,6.19,,6.11
CCc1nc2cc(CN3CCC(NC(=O)c4cc(=O)c5ccc(F)cc5o4)CC3)ccc2o1,,4.7,
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)N4CCN(c5ccccc5)CC4)cc3)cc2n(CCC)c1=O,,,6.79
C[C@H]1CCC[C@@H](C)N1Cc1cc2c(N)nc(-c3ccc(Br)o3)nc2s1,7.4,,7.92
CCn1nc(Cc2ccc(OC3CCC3)cc2)cc1C1CCN(C[C@H]2CN([C@@H](C(=O)O)C(C)(C)C)C[C@@H]2c2cccc(F)c2)CC1,,5.46,
CN(C)CCOc1cccc(-c2nc3c([nH]2)c(=O)n(C)c(=O)n3C)c1,6.1,,6.4
CCCN(CCc1ccc(NC(=O)CCC(N)C(=O)NCCCCC(NC(=O)CCC(=O)NCCOCCOCCNC(=O)C(CCCCNC(C)=O)NC(C)=O)C(N)=O)cc1)C1CCc2c(O)cccc2C1,,,3.99
O=C(CCc1ccccc1)c1cc(F)ccc1OCC(O)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,,5.32,
NC(=O)c1c(N)sc2c1CCCCC2,3.99,,
O=C(NCc1cc(Cl)ccc1-n1cnnn1)[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@H](O)CC1CC1,,3.99,
CN1CCN(c2ccc3nc(-c4ccc(CN5CCC(c6nnc(-c7ccccn7)[nH]6)CC5)cc4)c(-c4ccccc4)nc3n2)CC1,,5.67,
[2H]C([2H])([2H])Oc1ccc(-n2nc3c4cc(OC([2H])([2H])[2H])ccc4[nH]cc-3c2=O)cc1,,3.99,
O=C1OCc2cc(CCN3CCN(C(=O)Cc4ccc(-n5cnnn5)cc4)CC3)cc(Cl)c21,,5.47,
COc1ccc(Cc2c(-c3ccccc3)sc(N)c2C(=O)c2ccc(Cl)cc2)c(OC)c1,3.99,,
