smiles,CHEMBL226,CHEMBL240,CHEMBL251
CN(C(=O)Cc1ccc(-n2cnnn2)cc1)C1CCN(Cc2ccc(C(F)(F)F)cn2)CC1,,5.38,
COc1ccc2c(NC[C@H](O)CO)nc(C#N)c(-c3ccccc3)c2c1,,4.82,
Cn1c(=O)c2[nH]c(-c3ccc(OCC(=O)N4CCC(C(=O)c5ccc(F)cc5)CC4)cc3)cc2n(C)c1=O,,,6.52
Nc1nc2c(cnn2CCN2CCc3ccc([N+](=O)[O-])cc3CC2)c2nc(-c3ccco3)nn12,,,9.15
Nc1nc(C(=O)NCc2cncc3ccccc23)c2cccc(F)c2n1,7.11,,7.57
Nc1nc2c(s1)CC[C@H]2C(=O)Nc1ccc(C[C@@H]2CC[C@H]([C@H](O)c3cccc(Cl)c3)N2)cc1,,5.82,
Cl.FCCOc1ccccc1CCC1CCN(CCc2ccccc2)CC1,,6.12,
O=c1c2cc(-c3ccc(Cl)cc3)cn2ncn1-c1ccc(N2CCC(N3CC(O)C3)C2)nc1,,5.7,
COc1cccc(-c2c[nH]c([C@H]3Cc4c([nH]c5ccccc45)[C@](c4cnn(C)c4)(c4noc(C)n4)N3)n2)n1,,5.44,
Nc1nc(-c2ccco2)c2ncn(C(=O)NCCc3ccccc3)c2n1,6.21,,8.22
CCC(O)(c1cn(Cc2ccc3c(-c4ccccc4)c(C(C)O)sc3c2)nn1)C(F)(F)F,,5.42,
O=C1OCCc2cc(CCN3CCN(C(=O)Cc4ccc(-n5cnnn5)cc4)CC3)ccc21,,4.5600000000000005,
Cc1ccc(N2CCN(CCN3Cc4ccccc4C3)C2=O)cn1,,4.5,
N#Cc1cccc(C(=O)Nc2nc3cc(C(=O)N4CCCCC4)cnc3n2Cc2ccc(F)cc2)c1,,,5.59
CC(C)(C)CCN1CCC(CNC(=O)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)CC1,,5.75,
CN(C)c1ccc([C@]2(O)CC[C@H](N3CC(NC(=O)CNC(=O)c4cccc(C(F)(F)F)c4)C3)CC2)cn1,,4.65,
CCCn1c(=O)c2[nH]c(-c3cc(C)n(CC(=O)Nc4ccc(C)c(C)c4)n3)nc2n(CCC)c1=O,3.99,,3.99
CCCNc1c(C(=O)OCCC)cnc2c1cnn2CC(Cl)c1ccccc1,6.8,,5.86
O=C(c1ccccc1Cl)N1CCC(Cc2ccccc2)CC1,3.99,3.99,3.99
CN(C)CCCN1c2ccccc2Sc2ccccc21,3.99,3.99,3.99
C[C@@H](OC(=O)Nc1c(-c2ccc(-c3ccc(C4(C(=O)NS(C)(=O)=O)CC4)cc3)cc2)nnn1C)c1ccccc1,,3.99,
Fc1ccc(Cn2c(C3CCCN(C4CCCCC4)C3)nc3ccccc32)cc1,,6.03,
CCn1cnc2c(CNC(=O)c3nc(N)nc4c(F)cccc34)cccc21,7.62,,8.51
C[C@@H]1CCCN1CCc1ccc2nc(-c3csc(-c4cc(Cl)nc(Cl)c4)n3)ccc2c1,,4.99,
Nc1nc(-c2ccco2)c2ncn(Cc3c(F)cccc3F)c2n1,6.21,,8.434999999999999
CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(C#N)nc1OCCC1CCN(C)CC1,,6.38,
CN(C)CCC1CCN(c2cc(C(=O)NC[C@H]3CC[C@H](CNC(=O)OCC(C)(C)C)CC3)c3ccccc3n2)CC1,,4.85,
Cc1ccc(-c2n[nH]c(NC(=O)COc3ccccc3)n2)cc1,5.19,,5.44
Fc1cccc(F)c1Cn1ccc2c(OC3CCN(Cc4cscn4)CC3)ncnc21,,5.64,
Cc1nc2c3c(ccc2o1)CCN(CCCSc1nnc(-c2ocnc2C)n1C)CC3,,4.9,
Cc1c(C(=O)NCCN2CCN(c3cccc(Cl)c3Cl)CC2)cc(C(C)(C)C)n1C.Cl,,5.16,
OCCCNc1nc(-c2ccccc2)nc2c1nnn2Cc1ccccc1F,,,3.99
c1ccc2c(N3CCN(CCCCOc4ccc5c(c4)CNC5)CC3)cccc2c1,,5.81,
CNCc1cc(Oc2ccc3c(ccn3C(=O)Nc3ccc(F)c(C(F)(F)F)c3)c2)ncn1,,5.24,
C[C@]12C[C@@H](O)[C@H]3[C@@H](CC[C@]4(O)C[C@@H](O)C[C@@H](O)[C@]34CO)[C@@]1(O)CC[C@@H]2c1cn(Cc2ccccc2)nn1,,3.99,
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(Nc4ccc(OCC(=O)NCc5ccccc5)cc4)ncnc32)[C@H](O)[C@@H]1O,7.69,,3.99
CN(C)C(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)nc(N(C)C)nc32)[C@H](O)[C@@H]1O,3.99,,3.99
O=C(Cc1ccc(-c2ccccc2)cc1)Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12,5.93,,6.59
CC(C)[C@@H](Oc1ccc(CNC(=O)[C@@H]2CCCN2C(=O)CC(N)Cc2cc(F)ccc2F)cc1)C(=O)O.O=C(O)C(F)(F)F,,4.12,
Nc1nc(-c2ccccc2)c2c(n1)-c1cc(CN3CCCC3)ccc1C2=O,7.77,,8.39
COc1ccc2c(ccc(=O)n2CCN2CCC(NCc3cnc(C)c(C#N)c3)CC2)n1,,5.0,
CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21,3.99,3.99,3.99
O=C(Nc1cc(-c2ccc3c(c2)OCO3)nc(-c2ccccc2)n1)C1CC1,7.89,,7.16
Cc1cc(F)ccc1[C@@H]1CCN(C[C@@H]2CCc3cccnc3[C@@H](O)C2)C[C@H]1O,,4.89,
N#Cc1c(NCCCCc2ccccc2)nc(SCc2csc(-c3ccc(Cl)cc3)n2)nc1-c1ccc2c(c1)OCO2,3.99,,
O=C(Nc1nc2ccccc2n2c(=O)n(-c3ccc(Cl)cc3)nc12)c1ccccc1,7.0,,
COc1cccc(C(=O)N2CCCC2)c1OCc1csc(-c2ccc(Cl)cc2)n1,,5.11,
COc1cnc2ccc(=O)n(CCN3CCC(NC(=O)c4cnc(C)c(C#N)c4)CC3)c2c1,,4.13,
CC(OC(=O)Nc1c(-c2ccccc2)cnn1C)c1ccccc1Cl,,3.99,
CN(c1ccc(CN2CCC3(CC2)OCc2cc(F)ncc23)cc1)c1ccc(F)c(F)c1,,7.6,
O=C(O)Cc1ccc(-n2cc(C3CCN(CCN4CCNC4=O)CC3)c3cc(Cl)ccc32)cc1,,6.24,
CCOC(=O)N1CCN(Cc2noc(-c3cc(Cl)ccc3F)n2)CC1,,4.51,
O=C(C1CC(Oc2cccc(F)c2)CN1)N1CCCN(C2CCC2)CC1,,5.0,
O=C(c1ccc(Oc2ccc(Cl)cc2)nc1)N1CCCN(C2CCC2)CC1,,5.85,
CCCCCCSc1cc(Cl)c(C(=O)CCN2CC2C)c(Cl)c1,,3.99,
CC(C)(C)Cn1cc2c(Cl)nc(NC(=O)c3ccc(F)cc3)nc2n1,4.78,,5.66
COc1ccc(OC)c(CNc2nc(Cl)nc3c2ncn3[C@H]2[C@H](O)[C@H](O)[C@@H]3C[C@@H]32)c1,5.52,,5.58
CC(Oc1ccc(S(C)(=O)=O)cc1C(=O)N1CCN(c2ccc(C(F)(F)F)cn2)CC1)C(F)(F)F,,4.7,
[O-][n+]1ccc(CC(c2ccc(OC(F)F)c(OC3CCC3)c2)c2cnc(C(O)(C(F)(F)F)C(F)(F)F)s2)cc1,,4.42,
CCc1nnc(NC(=O)CSc2nc(-c3ccccc3)cc(-c3ccc(OC)cc3)c2C#N)s1,,5.88,
CN1CCC(N(C)C(=O)N2CC(c3cc(F)ccc3F)=C[C@@]2(CO)c2ccccc2)CC1,,4.84,
CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)c3ccc(NS(C)(=O)=O)cc3)sc12,6.96,,7.34
N#Cc1c(N)nc(SCc2csc(-c3ccc([N+](=O)[O-])cc3)n2)nc1-c1ccc2c(c1)OCO2,7.96,,
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,3.99,3.99,3.99
CC1=NS(=O)(=O)c2cc(Cl)ccc2N1,3.99,3.99,3.99
O=C(c1ccccc1Oc1ccccc1)N(c1ccccc1)[C@H]1CCNC1,,5.55,
Cc1ccc2c(N3CCN(CCc4cccc5c4ccc(=O)n5C)[C@H](C)C3)cc(F)cc2n1,,5.0,
Cc1cccc(C#Cc2sc(N)c(C(=O)c3ccc(Cl)cc3)c2CC(C)(C)C)c1,3.99,,3.99
COc1cc(-c2cn(Cc3ccc(F)cc3)nn2)ccc1-n1cnc(C)c1,,5.66,
O[C@@H]1[C@H](O)[C@@H]2C[C@@H]2[C@H]1n1cnc2c(NCC(C3CC3)C3CC3)nc(Cl)nc21,6.11,,
COc1ccc(Nc2c(-c3ccc4nccnc4c3)c(C)nn2-c2ccccc2)c(C(=O)O)c1,8.55,,5.26
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(F)cc4)cc3)cc2n(CCC)c1=O,,,7.92
COc1cccc(-c2n[nH]c(CCc3ccc(Cl)c(Cl)c3)n2)c1,5.75,,6.0
O=c1ccc2ncc(F)c3c2n1C[C@@]3(O)CC12CCC(NCc3cc4c(c(Cl)c3Cl)OCCO4)(CC1)CO2,,4.5,
Nc1nc(N)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2n1,3.99,3.99,3.99
C[C@H](O)C(=O)NC1CC(C)(C)Oc2nc(-c3ccc(Cl)cc3Cl)c(-c3ccc(Cl)cc3)cc21,,6.695,
C[C@@H]1CN(c2nc(C(F)(F)F)no2)CCN1c1ncc(OCc2ccncc2C#N)cn1,,5.23,
COc1ccc(CCN2CCC(CCc3cccc(OCCF)c3)CC2)cc1.Cl,,6.55,
C[C@H]1CN(c2ccc(C#N)cn2)CC[C@H]1Nc1c(C(N)=O)cnc2[nH]ccc12,,4.54,
Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,,4.466666666666666,
Cn1cc2c(nc(NC(=O)Nc3ccoc3)n3nc(-c4ccco4)nc23)n1,3.99,,6.4
CCc1ccccc1Nc1nc(NC2CCCCC2)c2[nH]cnc2n1,5.5,,
COc1ccc(-c2cc(-c3ccc(S(=O)(=O)NC4CC4)cc3)cnc2N)cn1,,5.68,
COc1cc(-c2cn(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)nn2)ccc1-n1cnc(C)c1,,6.41,
CC1(O)CN(S(=O)(=O)c2ccc3c(C(=O)NC[C@@H](O)CN4CCC(Oc5ccc(Cl)c(Cl)c5)CC4)c[nH]c(=O)c3c2)C1,,5.5,
COCCS(=O)(=O)c1ccc(-c2ccc(CCN3CCC[C@H]3C)cc2)cc1,,5.13,
COc1ccc(-c2cn3cc(C(=O)NCCCN4CCN(C)CC4)cc(N)c3n2)cc1OC.Cl.Cl.Cl,,,3.99
CC(C)C(=O)Nc1cnc(-c2ccncc2)c(-c2ccco2)n1,7.75,,6.71
COC(=O)C1(CNC(=O)c2cc(OC)cc(OC)c2)CCN(Cc2ccc(OC)cc2)CC1,,6.32,
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,3.99,3.99,3.99
Cc1ccc(Nc2nc(N[C@@H]3CCOC[C@@H]3N)ncc2C(N)=O)cc1,,4.7,
CN1CCCC(c2nc3ccccc3n2CCOc2ccccc2)C1,,5.255000000000001,
CCCNC[C@H]1O[C@@H](n2cnc3c(N[C@H]4C[C@H]5CC[C@H]4C5)ncnc32)[C@H](O)[C@@H]1O,5.22,,
Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1-c1ccc(S(N)(=O)=O)cc1,,6.65,
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NOC)nc(C#Cc4ccc(C(C)=O)cc4)nc32)[C@H](O)[C@@H]1O,5.91,,5.38
CCN(CC)Cc1ccc(Nc2ccnc3cc(Cl)ccc23)cc1O,,5.41,
FC(F)(F)c1ccc(-c2c[nH]c([C@H]3Cc4c([nH]c5ccccc45)[C@@H](C4CCOCC4)N3)n2)cc1,,6.8,
O=S(=O)(c1ccc(Cl)cc1)[C@@]12CCCC3(COC3)[C@@H]1COc1c(F)ccc(F)c12,,3.99,
CCn1c(=O)[nH]c(=O)c2[nH]cnc21,,,4.16
N#Cc1c(N)nc2c(C(N)=O)c(Nc3ccccc3)sc2c1-c1ccccc1,,,6.2
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NC)nc(-n4cc(-c5ccccn5)nn4)nc32)[C@H](O)[C@@H]1O,5.79,,
CC(=O)Nc1ccc(-c2nc(SCc3csc(-c4ccc(Cl)cc4)n3)nc(N)c2C#N)cc1,8.129999999999999,,
S=c1sc2c(ncn3nc(-c4ccco4)nc23)n1-c1ccccc1,7.32,,8.96
Cc1ncoc1-c1nnc(SCCCN2[C@H]3CC[C@@H]2C[C@H](c2ccc(C(F)(F)F)cc2F)C3)n1C,,6.3,
Oc1ccc(-c2nc(NCc3ccccn3)c3c(-c4ccccc4)cccc3n2)cn1,,6.3,
COc1cccc(-c2oc3ccccc3c(=O)c2O)c1,3.99,,3.99
Nc1nc(-c2cccc(Cl)c2)nc2sc(CN3CCOCC3)cc12,6.1,,6.92
CCCCc1nc2ccccc2c2nc(-c3ccc(C(F)(F)F)cc3)nn12,,,3.99
C[C@H]1CC[C@@H](Nc2nc(-c3ccccc3)nc3[nH]ccc23)CC1,8.03,,
Cc1cn(-c2ccc3n(c2=O)CCN(C[C@@]24C[C@@H]2C(C)(C)Oc2ccc(C(F)(F)F)cc24)C3=O)cn1,,4.81,
COc1ccc(CNC(=O)c2nc(N)nc3c(OC)cccc23)nc1,,,8.11
CCCn1c(-c2ccccc2)nc2c(NC3CCCC3)ncnc21,8.0,,6.2
CC(=O)N1CCC(n2cc(Nc3ncc(Cl)c(-c4cnc5ccccn45)n3)c(C)n2)CC1,,5.28,
N#Cc1ccc2cc1Oc1ccc3cccc(c3c1)N1CC[C@H](NC(=O)Cc3cncn3C2)C1=O,,5.0,
CN(C(=O)Cc1ccc(-n2cnnn2)cc1)[C@@H]1CCN(Cc2ccc(C(F)(F)F)cc2)C[C@@H]1F,,5.7,
Cn1cc(-c2nnc(SCCCN3CC[C@]4(C[C@@H]4c4ccc(C(F)(F)F)cc4)C3)n2C)cn1,,6.33,
CCn1cc2c(nc(NC(=O)Nc3ccccc3)n3nc(-c4ccco4)nc23)n1,6.49,,7.4
COc1c(CCN2CCN(C(=O)Cc3ccc(-n4cnnn4)cc3)CC2)ccc2c1COC2=O,,4.4,
O=C(NCc1c(O)cc(Cl)cc1Cl)C1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1,,5.38,
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(Nc4ccc(OCC(=O)Nc5ccc(Br)cc5)cc4)ncnc32)[C@H](O)[C@@H]1O,8.46,,3.99
CN(C)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,,7.24,
Cc1ccc2c(O)cc(-c3ccc([N+](=O)[O-])cc3)nc2n1,5.51,,6.29
OC1CCN(Cc2csc(-c3cn(CC4CCOCC4)c4c(Cl)cccc34)n2)CC1,,5.6,
CCCCn1cc2c(nc(NC(=O)Nc3ccc(Br)cc3)n3nc(-c4ccco4)nc23)n1,6.52,,7.18
CCOC(=O)c1cnc(NC(=O)Cc2ccccc2)n2nc(-c3ccco3)nc12,3.99,,4.37
Cc1cccc(C)c1C(=O)N1CCC(C)(N2CCC(N(Cc3ccccc3)c3ccccc3)CC2)CC1,,6.17,
CC(C)OC(=O)c1cnc2c(cnn2CC(Cl)c2ccccc2)c1NCCc1ccc(Cl)cc1,7.4,,
CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,3.99,3.99,3.99
C[C@@H](OC(=O)Nc1c(-c2ccc(-c3ccc(C4(C(=O)NS(C)(=O)=O)CC4)cc3)cc2)nnn1C)c1cccc(C(F)(F)F)c1,,3.99,
Nc1nc(CCCc2ccccc2)nc2cn(-c3ccccc3)nc12,7.976666666666667,,6.963333333333334
CNC(=O)[C@]12C[C@@H]1[C@@H](n1cnc3c(NCc4cccc(Cl)c4)nc(C#CCCC(=O)NCCCCN)nc31)[C@H](O)[C@@H]2O,,,6.12
O=C(CNc1ccnc2ccc(C(F)(F)F)cc12)NC1CN([C@H]2CC[C@@](O)(c3cncs3)CC2)C1,,4.95,
CC1C(=O)c2nc(CCCCN3N=C(c4ccccc4)CCC3=O)[nH]c2N(C)C1=O,5.67,,
CCCCNc1nc(N)c2nc(-c3ccco3)sc2n1,7.39,,8.09
Nc1cc(CN2CCC(N(C(=O)NCc3ccc(F)cc3)c3ccc(Cl)cc3)CC2)ccn1,,6.42,
CCOC(=O)[C@H]1CC[C@@H](N2CC(NC(=O)CNC3=NC(Cc4ccccc4)c4ccc(C(F)(F)F)cc43)C2)CC1,,5.85,
CC(C)(C)S(=O)(=O)c1ccc2nccc(Nc3n[nH]c4ccc(F)cc34)c2c1,,5.13,
CCOC(=O)c1cnc(NC)n2nc(-c3ccco3)nc12,6.01,,6.98
Nc1ccc(-c2ccc(F)cc2)cc1NC(=O)c1ccc(N2CCC3(CC2)CNC(=O)O3)nc1,,6.21,
CNCc1cc(C(=O)N(C)C)ccc1Oc1ccc(Cl)cc1C,,5.43,
Cn1ncc2nc(N3CCN(c4ccccc4)CC3)n3nc(-c4ccco4)nc3c21,3.99,,3.99
O=C(NC1CC1c1ccccc1)N1CCC(c2nc(-c3nccc4ccccc34)no2)CC1,,5.16,
Nc1ccc(-c2ccsc2)cc1N,,5.82,
CCN(C)C(=O)c1ccc2nc(NC(=O)c3cccc(C#N)c3)n(CCCOC)c2n1,,,7.92
O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccc([N+](=O)[O-])cc54)CC3)nc2N1,,4.61,
COc1cc(-c2cc3c([nH]2)c(=O)n(C)c(=O)n3C)ccc1OCC(=O)N1CCc2ccccc2C1,,,5.17
Nc1nc(NCc2cc(C3CC3)on2)c2c(ccn2Cc2ccccn2)n1,,6.7,
N[C@H](C(=O)N1CCC(F)(F)C1)[C@H]1CC[C@H](NC(=O)c2ccc(F)c(F)c2)CC1,,4.8,
COc1ccc2nccc(NC(=O)[C@]3(O)CC[C@@H](NCc4cnc5c(c4)OCCO5)CC3)c2n1,,4.28,
O=C(NCc1cc(Cl)ccc1-n1cnnn1)[C@@H]1CC=NN1C(=O)[C@H](O)Cc1ccccc1,,3.99,
CCN/C(=N\c1nc2nn(C)cc2c2nc(-c3ccco3)nn12)NCCCN(C)C,3.99,,3.99
CCN(CC)C(=O)C1CCCN(C(=O)CC2CCN(Cc3ccn(-c4ccc(C(F)(F)F)cc4)c3)CC2)C1,,4.8,
O=[N+]([O-])c1ccc(CCNCCOc2ccc([N+](=O)[O-])cc2)cc1,,7.305,
CCNC(=O)c1ccc(-c2ccc3c(c2)CCN(CCN2CCCC2)C3=O)cc1,,4.8,
N#Cc1c(N)nc(SCC(=O)NO)c(C#N)c1-c1ccc(OCC2CC2)cc1,6.27,,
COc1c(C(C)(C)C)cc(CN2CCC(CNCCCCCC(c3ccc(F)cc3)c3ccc(F)cc3)C2)cc1C(C)(C)C,,6.96,
N#Cc1cccc(C(=O)Nc2nc3cc(C(=O)N4CCCCC4)cnc3n2CCCO)c1,,,7.29
O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccc(-c6ccco6)cc54)CC3)nc2N1,,5.89,
O=c1n(-c2ccc(Cl)cc2)nc2c(NC3CCCCC3)nc3ccccc3n12,7.1,,
Nc1sc(-c2ccccc2)c(Cc2cccc3ccccc23)c1C(=O)c1ccc(Cl)cc1,3.99,,
O[C@]1(c2ccc(F)c(F)c2)CCNC[C@@H]1c1onc(-c2c(Cl)cccc2Cl)c1Br,,5.41,
O=C(c1ccc(C(=O)N2CCCc3ccccc32)cc1)c1cnc2ccccn12,,,6.77
Cc1ccc(OC(=O)N(CC(=O)O)Cc2cccc(OCc3oc(-c4ccc(Cl)cc4)nc3C)c2)cc1,,4.7,
O=C(O)c1cnc(NC(c2ccccc2)c2ccccc2)n2nc(-c3ccco3)nc12,5.61,,3.99
CNC(=O)[C@H]1O[C@@H](n2cnc3c(NC)ncnc32)[C@H](O)[C@@H]1NC(N)=O,3.99,,3.99
Nc1nc2c(cnn2CCN2CCc3ccc(Cl)cc3CC2)c2nc(-c3ccco3)nn12,,,8.48
COc1ccc(-c2cnc3nc(N4CCC(N5CCCCC5)CC4)sc3c2)cn1,,7.0,
CCN(CCO)Cc1csc(-c2cn(CC3CCOCC3)c3c(Cl)cccc23)n1,,6.1,
Cc1ncoc1-c1nnc(SCCCN2CC[C@]3(C[C@H]3c3ccccc3)C2)n1C,,5.4,
NC1=NC2(CO1)c1cc(-c3cnc4[nH]ccc4c3)ccc1OCC21CC1,,5.04,
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)N4CCN(c5ccc(C(F)(F)F)cc5)CC4)cc3)cc2n(CCC)c1=O,,,6.76
Cc1cc2nc(C(C)Cc3ccncc3)n(Cc3ccc(Cl)cc3)c2cc1C,,5.06,
COc1ncc([C@]2(O)CC[C@H](N3CC(NC(=O)CNC(=O)c4cccc(C(F)(F)F)c4)C3)CC2)cc1C,,4.67,
CC(C)Cn1c(=O)[nH]c2nc(-c3cnn(Cc4cccc(F)c4)c3)[nH]c2c1=O,3.99,,3.99
N[C@H]1CCCN(c2ccncc2Nc2ncc3ccc(-c4ncccc4F)nn23)C1,,5.55,
O=C(c1ccncc1)c1nc(C(F)(F)F)nc2ccsc12,4.84,,5.86
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(NCCc4ccc(CCC(=O)O)cc4)nc32)[C@H](O)[C@@H]1O,6.334444444444444,,7.464516129032258
COC(=O)C1(CNC(=O)c2cc(OC)cc(OC)c2)CCN(Cc2ccccc2C(F)(F)F)CC1,,5.3,
CCCC(=O)Oc1ccc(CCNc2nc(N)c3nc(-n4nccn4)n(C)c3n2)cc1,,,5.01
Cc1ccc(-c2cc(C(=O)NCc3ccc(C)c(C)n3)nc(N)n2)o1,7.05,,8.52
Cl.Fc1ccncc1-c1ccccc1O[C@H]1C[C@@H]2CNC[C@H]1C2,,5.75,
CN1CCN(CCCn2nc(C3=C(c4cn(-c5ccc6ccccc6c5)c5ccccc45)C(=O)NC3=O)c3ccccc32)CC1,,6.54,
Cc1cccc(N2CCN(CCCCCCN3CCN(c4ccccc4)CC3)CC2)c1,,5.42,
Nc1nc(-c2ccco2)c2ncn(CCCc3ccccc3)c2n1,,,8.17
Cn1cc2c(nc(NC(c3ccccc3)c3ccccc3)n3nc(-c4ccco4)nc23)n1,6.77,,6.05
Cl.NC(N)=NC(=O)c1nc(Cl)c(NCCc2ccc3c(c2)OCO3)nc1N,,,5.25
O[C@@H]1[C@@H](CCl)O[C@@H](n2cnc3c(NC4CCCC4)nc(Cl)nc32)[C@@H]1O,8.81,,5.67
CCCn1c(=O)c2[nH]c(-c3ccc(S(=O)(=O)NCCc4ccccn4)cc3)cc2n(C)c1=O,6.91,,
CN1CCC(N(C)C(=O)N2CC(c3cc(F)ccc3F)=C[C@H]2c2ccccc2)CC1,,5.92,
CC(C)[C@@H](CN1CCC(C)(c2cccc(F)c2)CC1)NC(=O)[C@H]1Cc2ccc(O)cc2CN1,,5.37,
CCCCN(CC)CC#CCCc1ccc(C)cc1,,5.25,
Cc1ccccc1CNc1nc(Cl)nc2c1ncn2[C@@H]1S[C@H](C(=O)NCC2CC2)[C@@H](O)[C@H]1O,5.7,,5.41
CC(C)N1CCO[C@@H](CN2CCN(C(=O)Nc3ccc(Cl)c(Cl)c3)CC2)C1,,5.2,
CCOC(=O)c1cnc2c(cnn2CC(Cl)c2ccccc2)c1N1CCN(C)CC1,,,5.67
FC(F)(F)c1cc(Cl)cc(COCC2(c3ccccc3)CCNCC2)c1,,5.14,
CNC(=O)Cn1c(=O)n(C2CCN(CCC(Oc3cc(OC)ccc3C)C(C)C)CC2)c2ccccc21,,7.25,
C[C@H]1Cc2c([nH]c3cc(Cl)c(F)cc23)[C@@]2(N1)C(=O)Nc1ccc(Cl)cc12,,4.52,3.99
COCCN1CCCC(Cn2c(-c3cccnc3C)nc3cn(-c4ccc(C#N)cc4)nc3c2=O)C1,,4.68,
COc1ccccc1CN1CCCn2c1nc1c2c(=O)n(C)c(=O)n1C,3.99,,4.95
C[C@]1(O)CC[C@H](Nc2ccc3ncc(-c4cccc(C(F)(F)F)c4)n3n2)CC1,,4.92,
CCOC(=O)c1cnc(NC2CCCC2)n2nc(-c3ccco3)nc12,7.46,,7.36
C=C(C)COc1ccccc1CN1CCC2(CC1)CCN(C(=O)c1ccncc1)CC2,,5.795,
O=C(Nc1nc(-c2ccccc2)nc2nn(CCc3ccccc3)cc12)c1cccc(Cl)c1,5.98,,6.5
CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1C,,5.35,
CCCn1c(=O)c2[nH]c(-c3ccc(OC)cc3)cc2n(CCC)c1=O,,,6.7
CCOC(=O)c1nc(NC(=O)c2ccc(F)cc2)nc2nn(CCc3ccccc3)cc12,5.3,,5.21
CCCn1c(=O)c2c(nc3[nH]c(-c4ccc(-c5ccccc5)cc4)cn32)n(Cc2ccccc2)c1=O,3.99,,3.99
CCOC(=O)N1CCN(c2cc(-c3ccccc3)nc3nc(C)ccc23)CC1,,,3.99
N[C@H](CSC(=S)NCc1ccccc1)C(=O)O,3.99,3.99,3.99
CCCOC(=O)c1cnc2c(cnn2CC(Cl)c2ccccc2)c1NCc1ccccc1,5.9,,
Cn1c(=O)c2[nH]c(-c3ccc(OCC(=O)N4CCN(c5ccc(C(F)(F)F)cc5)CC4)cc3)cc2n(C)c1=O,,,6.88
COc1cccc(-c2n[nH]c(Cc3ccc(Cl)c(Cl)c3)n2)c1OC,,,7.05
Nc1nc(NC(=O)C2CCCCC2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,5.79,,5.75
CNc1ncc(C(=O)OCc2ccc(Cl)cc2)c2nc(-c3ccco3)nn12,6.67,,7.14
Fc1cccc(F)c1Nc1nc2c(Cl)ncnc2s1,4.75,,5.09
CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CC[C@@H](c2cc(F)cc(Cl)c2)C2CCN(S(C)(=O)=O)CC2)CC1,,4.85,
O=c1n(Cc2ccccc2)c2sc3c(c2c2ncnn12)CCN(CC1CCOCC1)C3,,6.24,
CCCn1c(=O)c2[nH]c(-c3cc(=O)[nH]n3C)cc2n(CCC)c1=O,6.85,,6.02
CNC(=O)c1cc(CSc2nc(N)c(C#N)c(-c3ccc(OS(=O)(=O)N(C)C)cc3)c2C#N)ccn1,10.4,,
O=C(Nc1cnc(-c2ccncc2)c(-c2ncco2)n1)C1CC1,,,6.06
CCC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1,,,6.05
CCCn1c(=O)c2[nH]c(-c3cc(C)n(CC(=O)Nc4ccc(Br)cc4)n3)nc2n(CCC)c1=O,3.99,,3.99
CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)c3ccnn3C)sc12,7.0,,7.29
COc1ccc(OC)c(NC(=S)NC(=O)c2ccc(Br)o2)c1,,8.0,
COCCCn1c(NC(=O)c2cccc(C#N)c2)nc2cc(C(=O)N(C)C)cnc21,,,6.91
