smiles,pchembl_value
CC(=O)Nc1cc(-c2cncc(N3CCOCC3)c2)nc(-n2nc(C)cc2C)n1,6.66
O=C(Cc1ccccc1)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,6.64
CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(N[C@H](CO)Cc5ccc(OC)cc5)nc43)[C@H](O)[C@@H]2O)n1,3.99
COc1ccc(C2CCOCC2)c2oc(NC(=O)c3ccnc(N4CCOCC4)c3)nc12,5.06
CCn1c(=O)c2[nH]c(-c3ccc(S(=O)(=O)NCCc4ccccn4)cc3)cc2n(CC)c1=O,6.85
Nc1nc2nn(CCc3cccc4ccccc34)cc2c2nc(-c3ccco3)nn12,6.46
Nc1ncnc2c1nc(Br)n2CCc1ccccc1,4.92
CCn1c(-c2ccccc2)nc2c(N)ncnc21,7.51
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(OCCc4c[nH]c5ccccc45)nc32)[C@H](O)[C@@H]1O,6.72
Nc1nc2c(cnn2CCN2CCOCC2)c2nn(Cc3cccc(Cl)c3)c(=O)n12,5.85
CCn1c(=O)[nH]c2nc(-c3cnn(Cc4cccc(C(F)(F)F)c4)c3)[nH]c2c1=O,3.99
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NNC(=O)c4ccco4)nc(Cl)nc32)[C@H](O)[C@@H]1O,5.46
CN(C)C(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)nc(N(C)C)nc32)[C@H](O)[C@@H]1O,3.99
O[C@@H]1[C@H](O)[C@@H]2C[C@@H]2[C@H]1n1cnc2c(NCc3cccc(Cl)c3)nc(Cl)nc21,5.6066666666666665
CCCn1c(=O)c2c(nc3[nH]c(C)cn32)n(Cc2ccccc2)c1=O,3.99
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,3.99
CCCNC(C)C(=O)Nc1ccccc1C,3.99
CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1,3.99
Nc1nc2ccccc2n2c(=O)c(-c3ccc(F)cc3)nn12,7.19
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,3.99
N#Cc1c(N)nc(SCc2csc(-c3ccc(Cl)cc3)n2)nc1-c1ccc2c(c1)OCO2,8.08
O=C(O)c1cnc(NC(c2ccccc2)c2ccccc2)n2nc(-c3ccco3)nc12,5.61
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC)nc(C#CC4(N)CCCCC4)nc32)[C@H](O)[C@@H]1O,6.14
COc1ccc(-n2cc3c(n2)c(=O)[nH]c2ccccc23)cc1,6.75
Nc1ccc(S(=O)(=O)NC(=O)c2ccccc2)cc1,3.99
CC1CCC(NC(=O)N(CCCl)N=O)CC1,3.99
Clc1ccc(Nc2nc3c(Cl)ncnc3s2)cc1,4.6
